[Fri Sep 11 01:21:27.240384 2020] [php7:notice] [pid 4892:tid 1848] [client 127.0.0.1:54834] PHP Notice:  Undefined variable: arr in E:\\xamp\\htdocs\\sust\\my-files-master\\sp1.sust.com\\html\\test.php on line 67
[Fri Sep 11 01:21:27.241389 2020] [php7:warn] [pid 4892:tid 1848] [client 127.0.0.1:54834] PHP Warning:  Invalid argument supplied for foreach() in E:\\xamp\\htdocs\\sust\\my-files-master\\sp1.sust.com\\html\\test.php on line 67
[Fri Sep 11 02:05:57.148555 2020] [php7:error] [pid 4892:tid 1860] [client 127.0.0.1:55206] PHP Parse error:  syntax error, unexpected end of file in E:\\xamp\\htdocs\\sust\\my-files-master\\sp1.sust.com\\html\\test.php on line 81
[Fri Sep 11 02:06:09.389047 2020] [php7:error] [pid 4892:tid 1860] [client 127.0.0.1:55208] PHP Parse error:  syntax error, unexpected end of file, expecting ';' or ',' in E:\\xamp\\htdocs\\sust\\my-files-master\\sp1.sust.com\\html\\test.php on line 81
[Fri Sep 11 02:06:12.128120 2020] [php7:error] [pid 4892:tid 1860] [client 127.0.0.1:55208] PHP Parse error:  syntax error, unexpected end of file, expecting ';' or ',' in E:\\xamp\\htdocs\\sust\\my-files-master\\sp1.sust.com\\html\\test.php on line 81
[Fri Sep 11 02:06:12.637699 2020] [php7:error] [pid 4892:tid 1860] [client 127.0.0.1:55208] PHP Parse error:  syntax error, unexpected end of file, expecting ';' or ',' in E:\\xamp\\htdocs\\sust\\my-files-master\\sp1.sust.com\\html\\test.php on line 81
[Mon Sep 21 22:14:33.069755 2020] [core:error] [pid 3056:tid 1880] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62269] AH00127: Cannot map GET /... HTTP/1.1 to file, referer: http://services.sust.com/
[Mon Sep 21 22:25:56.760996 2020] [core:error] [pid 3056:tid 1876] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62333] AH00127: Cannot map GET /... HTTP/1.1 to file, referer: http://services.sust.com/
[Mon Sep 21 22:25:58.539734 2020] [core:error] [pid 3056:tid 1880] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62332] AH00127: Cannot map GET /... HTTP/1.1 to file, referer: http://services.sust.com/
[Mon Sep 21 22:25:59.008956 2020] [core:error] [pid 3056:tid 1880] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62332] AH00127: Cannot map GET /... HTTP/1.1 to file, referer: http://services.sust.com/
[Mon Sep 21 22:25:59.274924 2020] [core:error] [pid 3056:tid 1880] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62332] AH00127: Cannot map GET /... HTTP/1.1 to file, referer: http://services.sust.com/
[Mon Sep 21 22:25:59.446111 2020] [core:error] [pid 3056:tid 1876] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62333] AH00127: Cannot map GET /... HTTP/1.1 to file, referer: http://services.sust.com/
[Mon Sep 21 22:25:59.644005 2020] [core:error] [pid 3056:tid 1880] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62332] AH00127: Cannot map GET /... HTTP/1.1 to file, referer: http://services.sust.com/
[Mon Sep 21 22:25:59.856690 2020] [core:error] [pid 3056:tid 1876] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62333] AH00127: Cannot map GET /... HTTP/1.1 to file, referer: http://services.sust.com/
[Mon Sep 21 22:26:25.132581 2020] [core:error] [pid 3056:tid 1880] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62337] AH00127: Cannot map GET /... HTTP/1.1 to file, referer: http://services.sust.com/
[Mon Sep 21 22:26:25.962847 2020] [core:error] [pid 3056:tid 1880] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62337] AH00127: Cannot map GET /... HTTP/1.1 to file, referer: http://services.sust.com/
